"Source:","D:\Allgemein\Privat\Projekte\Stickbug\BMU\BMU.kicad_sch"
"Date:","2024-10-04T16:35:15+0200"
"Tool:","Eeschema 8.0.5"
"Generator:","D:\Programme\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Availability","Check_prices","Datasheet","Description","Description_1","Footprint","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","Package","Price","SNAPEDA_PACKAGE_ID","STANDARD","SnapEDA_Link"
"1","1","BT1","Battery_Cell","Device:Battery_Cell","","~","","","","","","~","Single-cell battery","","","","","","","","","","","","","","","","",""
"2","1","C1","10µ","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","~","Unpolarized capacitor","","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"3","2","C2, C3","100n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","~","Unpolarized capacitor","","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","","","","","",""
"4","1","D1","green","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","~","Light emitting diode","","LED_SMD:LED_1206_3216Metric","","","","","","","","","","","","","","",""
"5","1","D2","yellow","Device:LED","LED_SMD:LED_1206_3216Metric","~","","","","","","~","Light emitting diode","","LED_SMD:LED_1206_3216Metric","","","","","","","","","","","","","","",""
"6","1","D4","CDBA340-HF","Diode:CDBA340-HF","Diode_SMD:D_SMA","https://www.comchiptech.com/admin/files/product/CDBA340-HF%20Thru193640.%20CDBA3100-HF%20RevB.pdf","","","","","","https://www.comchiptech.com/admin/files/product/CDBA340-HF%20Thru193640.%20CDBA3100-HF%20RevB.pdf","40V 3A Schottky Barrier Rectifier Diode, SMA(DO-214AC)","","Diode_SMD:D_SMA","","","","","","","","","","","","","","",""
"7","1","F1","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric","~","","","","","","~","Fuse","","Fuse:Fuse_1206_3216Metric","","","","","","","","","","","","","","",""
"8","5","gate1, hsup1, n1g1, n2g1, n2s1","TestPoint","Connector:TestPoint","Connector_Pin:Pin_D1.0mm_L10.0mm","~","","","","","","~","test point","","Connector_Pin:Pin_D1.0mm_L10.0mm","","","","","","","","","","","","","","",""
"9","1","IC1","HY2213-BB3A","HY2213-BB3A:HY2213-BB3A","SOT95P280X140-6N","https://datasheet.lcsc.com/szlcsc/HYCON-Tech-HY2213-BB3A_C113632.pdf","","","","","","https://datasheet.lcsc.com/szlcsc/HYCON-Tech-HY2213-BB3A_C113632.pdf","PMIC - Battery Management SOT-23-6 RoHS","","SOT95P280X140-6N","1.4","","","","","Hycon","HY2213-BB3A","","","","","","","",""
"10","1","J1","USB_C_Receptacle_PowerOnly_6P","Connector:USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB Power-Only 6P Type-C Receptacle connector","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","","","","","","","","","","","","","","",""
"11","1","J2","Conn_01x05_Pin","Connector:Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~","","","","","","~","Generic connector, single row, 01x05, script generated","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","","","","","","","","","","","","","","",""
"12","1","Q1","FS8205A","FS8205A:FS8205A","SOT-23-6L_TCP","FS8205A","","","","","","FS8205A","","","SOT-23-6L_TCP","","","","","","","","","","","","","","",""
"13","1","Q2","AO3401A","Transistor_FET:AO3401A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","","","","","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","","Package_TO_SOT_SMD:SOT-23","","","","","","","","","","","","","","",""
"14","1","Q3","BUK7880-55A","Transistor_FET:BUK7880-55A","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://assets.nexperia.com/documents/data-sheet/BUK7880-55A.pdf","","","","","","https://assets.nexperia.com/documents/data-sheet/BUK7880-55A.pdf","7A Id, 55V Vds, N-Channel Enhancement Mode MOSFET, SOT-223","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","","","","","","","","","","","","","",""
"15","4","R1, R2, R5, R7","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","~","Resistor","","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","","","","","",""
"16","1","R3","1.2k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","~","Resistor","","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","","","","","",""
"17","2","R4, R6","100","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","~","Resistor","","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","","","","","",""
"18","1","R8","2k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","~","Resistor","","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","","","","","",""
"19","1","Rpull1","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","~","Resistor","","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","","","","","",""
"20","1","U1","DW01A","DW01A:DW01A","DW01A:SOT95P280X145-6N","","","","","Not in stock","https://www.snapeda.com/parts/DW01A/Fortune+Semiconductor/view-part/?ref=eda","","","One Cell Lithium-ion/Polymer Battery Protection IC","DW01A:SOT95P280X145-6N","","Fortune Semiconductor","1.45mm","Fortune Semiconductor","DW01A","","","","","1.8","SOT-23-6 Fortune Semiconductor","None","103849","IPC 7351B","https://www.snapeda.com/parts/DW01A/Fortune+Semiconductor/view-part/?ref=snap"
"21","1","U2","TP4056","TP4056:TP4056","TP4056:SOP127P600X175-9N","","","","","Not in stock","https://www.snapeda.com/parts/TP4056/NanJing+Top+Power+ASIC+Corp./view-part/?ref=eda","","","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger","TP4056:SOP127P600X175-9N","","NanJing Top Power ASIC Corp.","1.75mm","NanJing Top Power ASIC Corp.","TP4056","","","","","","Package","None","","IPC 7351B","https://www.snapeda.com/parts/TP4056/NanJing+Top+Power+ASIC+Corp./view-part/?ref=snap"
